Id,State,CreatedDateUtc,CancellationRequestDateUtc,CancellationDateUtc,CancellationRejectionDateUtc,UndoCancellationDateUtc,CanceledEmployee,SoldEmployee,UpdatedDateUtc
C817066B-AA29-CD75-D786-08DB92790896,0,2023-08-01 10:21:13,NULL,NULL,NULL,NULL,NULL,abcd@pflegehilfe.de,2023-08-01 10:21:13
46ED7DB7-F5F1-C470-1237-08DB9278E136,0,2023-08-01 10:20:07,NULL,NULL,NULL,NULL,NULL,abcd@pflegehilfe.de,2023-08-01 10:20:07
30DF8532-C699-C325-8DD8-08DB9278A4A3,0,2023-08-01 10:18:25,NULL,NULL,NULL,NULL,NULL,abcd@pflegehilfe.de,2023-08-01 10:18:25
D0A2B54F-BFBF-C133-F0E5-08DB92788F7B,0,2023-08-01 10:17:50,NULL,NULL,NULL,NULL,NULL,abcd@pflegehilfe.de,2023-08-01 10:17:50
AF9228F1-05E4-C453-E2B3-08DB9278861C,0,2023-08-01 10:17:34,NULL,NULL,NULL,NULL,NULL,abcd@pflegehilfe.de,2023-08-01 10:17:34
F2E580A3-8E90-C864-8A84-08DB9278861B,0,2023-08-01 10:17:34,NULL,NULL,NULL,NULL,NULL,abcd@pflegehilfe.de,2023-08-01 10:17:34
AC92ABB8-9172-CFFF-42E3-08DB9278861C,0,2023-08-01 10:17:34,NULL,NULL,NULL,NULL,NULL,abcd@pflegehilfe.de,2023-08-01 10:17:34
E5003D49-688B-C5A3-4CFE-08DB92788432,0,2023-08-01 10:17:31,NULL,NULL,NULL,NULL,NULL,abcd@pflegehilfe.de,2023-08-01 10:17:31
331CF052-5BFA-CF98-89BC-08DB92788431,0,2023-08-01 10:17:31,NULL,NULL,NULL,NULL,NULL,abcd@pflegehilfe.de,2023-08-01 10:17:31
94AAFCAC-418B-C754-59F7-08DB92787277,0,2023-08-01 10:17:01,NULL,NULL,NULL,NULL,NULL,abcd@pflegehilfe.de,2023-08-01 10:17:01
815BF3A3-DDEB-C0D0-0C34-08DB92785292,0,2023-08-01 10:16:08,NULL,NULL,NULL,NULL,NULL,abcd@pflegehilfe.de,2023-08-01 10:16:08
C3886E44-D575-C893-F7F1-08DB9277EB97,0,2023-08-01 10:13:15,NULL,NULL,NULL,NULL,NULL,abcd@pflegehilfe.de,2023-08-01 10:13:15
56E5083B-34AF-C5A7-5BD3-08DB9277EB96,0,2023-08-01 10:13:15,NULL,NULL,NULL,NULL,NULL,abcd@pflegehilfe.de,2023-08-01 10:13:15
9091ECE9-C10B-C6BA-46B9-08DB9277EB97,0,2023-08-01 10:13:15,NULL,NULL,NULL,NULL,NULL,abcd@pflegehilfe.de,2023-08-01 10:13:15
4331F27D-9AB9-CBAD-7E65-08DB92779E38,0,2023-08-01 10:11:05,NULL,NULL,NULL,NULL,NULL,abcd@pflegehilfe.de,2023-08-01 10:11:05
